id,home_project,project_count,issue_count,avg_bot_ratio
HankChenCH,apache_apisix,1,1,0.0
ShuLian1984,apache_apisix,1,2,0.0
Zeeeeta,apache_apisix,1,2,0.0
ch4dwick,apache_apisix,1,1,0.0
leceshide,apache_apisix,1,1,0.0
ccbutcc,apache_apisix,1,1,1.0
Austin-Russell,apache_apisix,1,1,0.0
ChuanFF,apache_apisix,1,2,0.0
zxyao145,apache_apisix,2,5,0.25
techcheckri,apache_apisix,1,2,0.0
PScoriae,apache_apisix,1,1,1.0
leowmjw,apache_apisix,1,1,1.0
mayunSaicmotor,apache_apisix,2,7,0.2
yijieshusheng-git,apache_apisix,1,2,0.0
ZygfrydDeLowe,apache_apisix,1,1,0.0
deep12398,apache_apisix,1,1,0.0
ZONGZI1999,apache_apisix,1,1,0.0
